CustomerID,CustomerName,CustomerType,Industry,Country,Region,City,StateProvince,PostalCode,SignupDate,CustomerSegment
C00001,Ling Oliveira,B2C,Consumer,Singapore,Asia Pacific,Singapore,,43239,2024-02-11,Consumer
C00002,Pinnacle Partners,B2B,Construction,Netherlands,Europe,Rotterdam,,21803,2024-01-19,Small Business
C00003,Claire Wilson,B2C,Consumer,Argentina,Latin America,Buenos Aires,,18976,2025-09-07,Consumer
C00004,Horizon Supply Co.,B2B,Hospitality,Vietnam,Asia Pacific,Hanoi,,89453,2023-07-27,Mid-Market
C00005,Pinnacle Supply Co.,B2B,Energy,United States,North America,Columbus,IL,32352,2024-06-08,Enterprise
C00006,Skyline Systems,B2B,Healthcare,South Africa,Middle East & Africa,Johannesburg,,62341,2023-03-18,Mid-Market
C00007,Joseph Clark,B2C,Consumer,Singapore,Asia Pacific,Singapore,,31667,2023-10-31,Consumer
C00008,Union Supply Co.,B2B,Telecommunications,China,Asia Pacific,Shenzhen,,26519,2023-09-22,Small Business
C00009,Vertex Systems,B2B,Hospitality,United States,North America,Atlanta,CA,31239,2025-09-14,Mid-Market
C00010,Frontier Retail Group,B2B,Agriculture,Spain,Europe,Madrid,,65215,2024-05-31,Small Business
C00011,Betty Ramirez,B2C,Consumer,Poland,Europe,Gdansk,,11422,2025-02-17,Consumer
C00012,Frontier Wholesale,B2B,Education,Argentina,Latin America,Buenos Aires,,85294,2024-12-05,Mid-Market
C00013,Jessica Jones,B2C,Consumer,Singapore,Asia Pacific,Singapore,,20668,2025-07-18,Consumer
C00014,Cascade Systems,B2B,Hospitality,Vietnam,Asia Pacific,Ho Chi Minh City,,94491,2024-11-20,Mid-Market
C00015,Pioneer Enterprises,B2B,Construction,Spain,Europe,Barcelona,,78898,2023-08-02,Enterprise
C00016,Ironclad Traders,B2B,Healthcare,Canada,North America,Toronto,,83078,2023-09-05,Enterprise
C00017,Sterling Traders,B2B,Consumer Goods,Spain,Europe,Barcelona,,40799,2025-06-11,Mid-Market
C00018,Apex Depot,B2B,Automotive,Mexico,North America,Mexico City,,79820,2025-04-30,Mid-Market
C00019,Lucas Gonzalez,B2C,Consumer,Australia,Asia Pacific,Sydney,,61404,2024-09-18,Small Business
C00020,Vantage Partners,B2B,Telecommunications,Vietnam,Asia Pacific,Ho Chi Minh City,,40453,2025-06-06,Enterprise
C00021,Apex Enterprises,B2B,Healthcare,Singapore,Asia Pacific,Singapore,,76694,2023-08-03,Mid-Market
C00022,Quantum Trading Co.,B2B,Consumer Goods,Spain,Europe,Barcelona,,46301,2024-12-16,Mid-Market
C00023,Michael Schmidt,B2C,Consumer,United Arab Emirates,Middle East & Africa,Dubai,,52140,2024-03-29,Consumer
C00024,Apex Holdings,B2B,Healthcare,Brazil,Latin America,Sao Paulo,,67274,2025-05-22,Small Business
C00025,Sterling Holdings,B2B,Healthcare,China,Asia Pacific,Shanghai,,46183,2024-07-16,Small Business
C00026,Apex Retail Group,B2B,Manufacturing,Canada,North America,Montreal,,24470,2023-06-27,Small Business
C00027,Sven Anderson,B2C,Consumer,United Kingdom,Europe,Manchester,,87242,2025-07-18,Consumer
C00028,Cascade Partners,B2B,Energy,Mexico,North America,Mexico City,,80274,2023-05-14,Enterprise
C00029,Prime Import Export,B2B,Healthcare,United States,North America,Columbus,WA,24511,2024-08-01,Small Business
C00030,Bluewave Distribution,B2B,Hospitality,Australia,Asia Pacific,Sydney,,87191,2024-07-05,Mid-Market
C00031,Ava Dubois,B2C,Consumer,Japan,Asia Pacific,Osaka,,32766,2023-09-28,Consumer
C00032,Susan Ramirez,B2C,Consumer,Saudi Arabia,Middle East & Africa,Jeddah,,24107,2025-11-18,Consumer
C00033,Union Traders,B2B,Food & Beverage,Mexico,North America,Mexico City,,18442,2023-09-01,Small Business
C00034,Meridian Solutions,B2B,Government,Netherlands,Europe,Amsterdam,,80195,2024-02-24,Small Business
C00035,Anchor Distribution,B2B,Government,United Kingdom,Europe,London,,84662,2025-10-21,Small Business
C00036,Cascade Ventures,B2B,Government,Canada,North America,Toronto,,83641,2024-06-27,Enterprise
C00037,Global Mart,B2B,Consumer Goods,Mexico,North America,Guadalajara,,,2024-01-30,Enterprise
C00038,Valentina Tran,B2C,Consumer,Netherlands,Europe,Amsterdam,,57815,2024-08-23,Consumer
C00039,Nova Retail Group,B2B,Technology,Mexico,North America,Monterrey,,43441,2025-11-16,Small Business
C00040,Vertex Wholesale,B2B,Manufacturing,Singapore,Asia Pacific,Singapore,,11557,2024-05-07,Small Business
C00041,Skyline Depot,B2B,Education,Spain,Europe,Barcelona,,97510,2023-10-16,Enterprise
C00042,Crest Networks,B2B,Healthcare,Singapore,Asia Pacific,Singapore,,18100,2023-05-26,Enterprise
C00043,Michael Jones,B2C,Consumer,Japan,Asia Pacific,Tokyo,,84452,2024-08-01,Consumer
C00044,Nova Import Export,B2B,Hospitality,United States,North America,Columbus,GA,47309,2024-11-30,Mid-Market
C00045,Union Logistics,B2B,Healthcare,Singapore,Asia Pacific,Singapore,,33463,2025-05-06,Small Business
